コマンド名,ID,speed,targetX,camera_kp,camera_ki,camera_kd,isStop,roi.x,roi.y,width,height,colrIndex,red,blue,yellow,black
CameraTracking,ID,double,int,double,double,double,bool,int,int,int,int,bool,bool,bool,bool,bool
# Tracking Area
CameraTracking,ID,double,int,double,double,double,bool,int,int,int,int
# 直線
# 右カーブ
CameraTracking,LTR001,550,960,0.01,0.0000,0.003,0,760,540,1920,1080,0,0,0,0,1
CameraTracking,LTR002,600,960,0.01,0.0000,0.0005,0,480,540,960,1080,0,0,0,0,1

# 左カーブ
CameraTracking,LTL001,550,960,0.01,0.000,0.003,0,0,540,1160,1080,0,0,0,0,1
CameraTracking,LTL002,550,960,0.008,0.000,0.001,0,0,540,1160,1080,0,0,0,0,1
CameraTracking,LTL003,600,960,0.01,0.0000,0.0005,0,480,540,960,1080,0,0,0,0,1



# ストップ
CameraTracking,000,550,960,0.008,0.000,0.0012,1,660,540,1260,740,0,0,0,0,1
CameraTracking,001,1,960,0.008,0.000,0.0012,1,0,0,0,0,0,0,0,0,1


# ボトルキャリーのラベル取得のための4色走行
CameraTracking,LTS001,600,960,0.009,0.0002,0.002,1,480,540,960,1080,1,1,1,1,1
CameraTracking,LTS002,350,960,0.0015,0.0000,0.00080,1,480,0,960,540,1,1,1,1,1
CameraTracking,LTS003,550,960,0.0045,0.0000,0.002,1,480,540,960,1080,1,1,1,1,
CameraTracking,LTS004,600,960,0.001,0.0000,0.0005,1,380,0,960,540,1,1,1,1,1
CameraTracking,LTS005,550,960,0.00215,0.0009,0.00101,1,300,540,1320,740,1,1,1,1,1

# BottleDelivery Area
#直線

CameraTracking,LBS001,550,960,0.004,0.003,0.0015,0,480,540,960,540,0,0,1,0,1
CameraTracking,LBS002,350,960,0.0001,0.000,0.0003,0,0,0,1920,1080,0,0,1,0,0
CameraTracking,LBS003,550,960,0.004,0.003,0.0015,0,480,0,960,540,0,0,1,0,1
CameraTracking,LBS004,550,960,0.004,0.003,0.0015,0,0,0,960,1080,0,0,1,0,1
#右カーブ

CameraTracking,LBR001,550,960,0.01,0.000,0.003,0,960,0,1920,540,0,0,1,0,1
CameraTracking,LBR002,350,960,0.0013,0.000,0.0003,0,1060,340,860,1080,0,0,0,0,1
CameraTracking,LBR003,350,960,0.0013,0.000,0.0003,0,1060,540,860,1080,0,0,0,0,1


#左カーブ

CameraTracking,LBL001,350,960,0.0013,0.000,0.0003,0,0,540,860,1080,0,0,1,0,1
CameraTracking,LBL002,350,1360,0.0013,0.000,0.0003,0,0,340,860,1080,0,0,0,0,1

#黄色

CameraTracking,LBY,300,960,0.005,0.000,0.001,0,0,0,1920,1080,0,0,0,1,0

#青色

CameraTracking,LBB,550,960,0.01,0.000,0.0025,0,0,0,1920,1080,0,0,1,0,0

#赤色

CameraTracking,LBR,550,960,0.01,0.000,0.0025,0,0,0,1920,1080,0,1,0,0,0
