コマンド名,ID,speed,targetX,camera_kp,camera_ki,camera_kd,isStop,roi.x,roi.y,width,height,colorIndex,red,blue,yellow,black
CameraTracking,ID,double,int,double,double,double,bool,int,int,int,int,bool,bool,bool,bool,bool
# Tracking Area
CameraTracking,ID,double,int,double,double,double,bool,int,int,int,int
# 直線
# 右カーブ
CameraTracking,LTR001,550,960,0.01,0.0000,0.003,0,760,540,1920,1080,0,0,0,0,1
CameraTracking,LTR002,600,960,0.01,0.0000,0.0005,0,480,540,960,1080,0,0,0,0,1

# 左カーブ
CameraTracking,LTL001,550,960,0.01,0.000,0.003,0,0,540,1160,1080,0,0,0,0,1
CameraTracking,LTL002,550,960,0.008,0.000,0.001,0,0,540,1160,1080,0,0,0,0,1
CameraTracking,LTL003,600,960,0.01,0.0000,0.0005,0,480,540,960,1080,0,0,0,0,1



# ストップ
CameraTracking,000,550,960,0.008,0.000,0.0012,1,660,540,1260,740,0,0,0,0,1
CameraTracking,001,1,960,0.008,0.000,0.0012,1,0,0,0,0,0,0,0,0,1


# ボトルキャリーのラベル取得のための4色走行
CameraTracking,LTS001,500,960,0.003,0.0005,0.001,0,480,540,960,1080,0,0,1,0,1
CameraTracking,LTS002,350,960,0.003,0.0001,0.002,0,480,0,960,1080,1,1,1,1,0
CameraTracking,LTS003,300,960,0.002,0.0005,0.001,0,480,0,960,540,1,1,1,1,1
CameraTracking,LTS004,300,960,0.002,0.0005,0.001,0,480,0,960,540,1,1,1,1,1
CameraTracking,LTS005,500,960,0.001,0.0000,0.0005,1,380,0,960,540,1,1,1,1,1
CameraTracking,LTS006,550,960,0.00215,0.0009,0.00101,1,300,540,1320,740,1,1,1,1,1
CameraTracking,LTS007,550,960,0.0045,0.0000,0.002,1,480,540,1260,1080,1,1,1,1,1
CameraTracking,LTS008,250,960,0.003,0.0001,0.002,1,480,540,960,1080,1,1,1,1,1


# BottleDelivery Area
#直線

CameraTracking,LBS001,550,960,0.004,0.003,0.0015,1,480,540,960,540,0,0,1,0,1
CameraTracking,LBS002,350,960,0.0001,0.000,0.0003,1,0,0,1920,1080,0,0,1,0,0
CameraTracking,LBS003,550,1430,0.015,0.0,0.002,0,680,100,1060,540,0,0,1,0,1
CameraTracking,LBS004,600,960,0.0001,0.000,0.0003,1,480,0,1080,500,0,0,0,0,1
CameraTracking,LBS005,400,960,0.004,0.003,0.0015,1,480,0,960,1080,0,0,0,0,1
CameraTracking,LBS006,600,460,0.0001,0.000,0.0003,1,480,0,1080,500,0,0,0,0,1
CameraTracking,LBS-006,-250,460,0.0001,0.000,0.0003,1,480,0,1080,500,0,0,0,0,1
CameraTracking,LBS007,50,960,0.0005,0.000,0.0003,1,480,270,960,540,0,0,1,0,1
CameraTracking,LBS008,600,960,0.0001,0.000,0.0003,1,760,0,500,1920,0,0,0,0,1
CameraTracking,LBS009,200,760,0.0007,0.000,0.0003,1,480,0,960,1080,0,0,1,0,0
CameraTracking,RED,250,960,0.0007,0.000,0.0003,1,480,0,960,1080,0,1,0,0,0
CameraTracking,BLUE,250,960,0.0007,0.000,0.0003,1,480,0,960,1080,0,0,1,0,0
CameraTracking,YELLOW,250,960,0.0007,0.000,0.0003,1,480,0,960,1080,0,0,0,1,0

#右カーブ

CameraTracking,LBR001,550,960,0.01,0.000,0.003,0,960,0,1920,540,0,0,1,0,1
CameraTracking,LBR002,350,960,0.0013,0.000,0.0003,0,1060,340,860,1080,0,0,0,0,1
CameraTracking,LBR003,350,960,0.0013,0.000,0.0003,0,1060,540,860,1080,0,0,0,0,1


#左カーブ
CameraTracking,LBL001,350,1180,0.005,0.000,0.0005,0,0,540,860,1080,0,0,0,0,1

CameraTracking,LBL002,350,1360,0.0013,0.000,0.0003,0,0,340,860,1080,0,0,0,0,1

#黄色

CameraTracking,LBY,300,960,0.005,0.000,0.001,0,0,0,1920,1080,0,0,0,1,0

#青色

CameraTracking,LBB,550,960,0.01,0.000,0.0025,0,0,0,1920,1080,0,0,1,0,0

#赤色

CameraTracking,LBR,550,960,0.01,0.000,0.0025,0,0,0,1920,1080,0,1,0,0,0

調整用
#直線
CameraTracking,S001,600,960,0.0075,0.00,0.0025,0,480,540,960,540,0,0,0,0,1
#カーブ
CameraTracking,R001,600,960,0.0080,0.0000,0.0045,0,860,540,1920,540,0,0,0,0,1
CameraTracking,L001,600,960,0.009,0.0000,0.006,0,0,540,1060,540,0,0,0,0,1
CameraTracking,L002,600,960,0.0075,0.0000,0.0035,0,0,540,1060,540,0,0,0,0,1

#四色
CameraTracking,BC,250,960,0.003,0.0001,0.002,1,480,0,960,1080,1,1,1,1,1
CameraTracking,BC2,600,960,0.0075,0.001,0.0025,1,480,0,960,1080,1,1,1,1,1

#ET相撲
CameraTracking,014,300,960,0.005,0.000,0.001,0,0,0,1920,1080,0,0,0,1,0
